ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
126  ,UNITY PL ,K2S1B9,Ward 6,,,***CONTRACTOR***,Single,West Carleton,Install an enclosure for a semi-inground pool (rear yard),0.0,0.0,0.0,2300323.0,Pool Enclosure,2023-01-26 15:21:42
561  ,LATOUR CRES ,K4A1N6,Ward 1,50M-181,,CONTRACTOR UNKNOWN,Rowhouse,Cumberland,Exterior/ Interior repair to a 2 storey detached dwelling (fire damage),0.0,25000.0,800.0,2300324.0,Construction,2023-01-26 15:28:36
15 B ,UXBRIDGE CRES ,,Ward 23,886,901,CONTRACTOR UNKNOWN,Single,Kanata,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1.0,40000.0,8890.99,2300326.0,Construction,2023-01-27 09:01:48
40  ,LISMER CRES ,K2K1A2,Ward 4,829,540,OGC LTD.,Single,Kanata,Construct a 1 storey addition and interior alterations to a 2 storey detached dwelling,0.0,132519.05,1030.0,2300327.0,Construction,2023-01-27 09:52:48
766 A -9,"ST-ANDRE, PROM  ",K1C4S2,Ward 2,264,,CONTRACTOR UNKNOWN,Stacked Rowhouse,Gloucester,Interior alterations to a 3 storey residential building (Unit 9A - water damage repairs),0.0,25000.0,915.0,2300328.0,Construction,2023-01-27 12:35:03
2615  ,LANCASTER RD ,K1B5N2,Ward 18,M121,,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic cold water supply of a 1 storey office building,0.0,4100.0,0.0,2300329.0,Construction,2023-01-27 12:58:37
2620  ,LANCASTER RD ,K1B4Z4,Ward 18,4M121,,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic cold water supply of a 1 storey office building,0.0,4600.0,0.0,2300330.0,Construction,2023-01-27 13:10:35
695  ,SOMERSET ST W,K1R6P5,Ward 14,3459,64,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up in a 2 storey retail building (Chatime),0.0,220000.0,699.65,2300331.0,Construction,2023-01-27 13:19:21
5100  ,KANATA AVE ,K2K3P7,Ward 4,4M1170,6,CONTRACTOR UNKNOWN,Retail,Kanata,Tenant fit up in a 1 storey retail building (Nail Salon),0.0,40000.0,1130.0,2300332.0,Construction,2023-01-27 14:04:12
4743  ,BANK ST ,K1T3W7,Ward 22,,18,CONTRACTOR UNKNOWN,Demolition,Gloucester,Demolish a 1 storey detached dwelling and accessory building,-1.0,5000.0,-753.0,2300333.0,Demolition,2023-01-27 14:22:22
